"","name","link","ID"
"1","3i Infrastructure plc","/shares/shares-search-results/BF5FX16","BF5FX16"
"2","4imprint Group plc","/shares/shares-search-results/0664097","0664097"
"3","888 Holdings","/shares/shares-search-results/B0L4LM9","B0L4LM9"
"4","Aberforth Smaller Companies Trust plc","/shares/shares-search-results/0006655","0006655"
"5","Abrdn Private Equity Opportunities Trust plc","/shares/shares-search-results/3047468","3047468"
"6","AJ Bell Plc","/shares/shares-search-results/BFZNLB6","BFZNLB6"
"7","Alliance Trust plc","/shares/shares-search-results/B11V7W9","B11V7W9"
"8","Allianz Technology Trust plc","/shares/shares-search-results/BNG2M15","BNG2M15"
"9","Apax Global Alpha Limited","/shares/shares-search-results/BWWYMV8","BWWYMV8"
"10","Ascential Plc","/shares/shares-search-results/BYM8GJ0","BYM8GJ0"
"11","Ashmore Group plc","/shares/shares-search-results/B132NW2","B132NW2"
"12","ASOS plc","/shares/shares-search-results/3092725","3092725"
"13","Assura plc","/shares/shares-search-results/BVGBWW9","BVGBWW9"
"14","Aston Martin Lagonda","/shares/shares-search-results/BN7CG23","BN7CG23"
"15","Auction Technology Group plc","/shares/shares-search-results/BMVQDZ6","BMVQDZ6"
"16","AVI Global Trust plc","/shares/shares-search-results/BLH3CY6","BLH3CY6"
"17","Babcock International Group","/shares/shares-search-results/0969703","0969703"
"18","Baillie Gifford Japan Trust plc","/shares/shares-search-results/0048583","0048583"
"19","Balanced Commercial Property Trust Ltd","/shares/shares-search-results/B4ZPCJ0","B4ZPCJ0"
"20","Balfour Beatty plc","/shares/shares-search-results/0096162","0096162"
"21","Baltic Classifieds Group plc","/shares/shares-search-results/BN44P25","BN44P25"
"22","Bank Of Georgia Group Plc","/shares/shares-search-results/BF4HYT8","BF4HYT8"
"23","Bankers Investment Trust plc","/shares/shares-search-results/BN4NDR3","BN4NDR3"
"24","BBGI Global Infrastructure S.A.","/shares/shares-search-results/B6QWXM4","B6QWXM4"
"25","Beazley plc","/shares/shares-search-results/BYQ0JC6","BYQ0JC6"
"26","Bellevue Healthcare Trust plc","/shares/shares-search-results/BZCNLL9","BZCNLL9"
"27","Bellway plc","/shares/shares-search-results/0090498","0090498"
"28","BH Macro Ltd (GBP)","/shares/shares-search-results/B1NP514","B1NP514"
"29","Biffa plc","/shares/shares-search-results/BD8DR11","BD8DR11"
"30","Big Yellow Group","/shares/shares-search-results/0286941","0286941"
"31","BlackRock Smaller Companies Trust plc","/shares/shares-search-results/0643610","0643610"
"32","BlackRock Throgmorton Trust plc","/shares/shares-search-results/0891055","0891055"
"33","BlackRock World Mining Trust plc","/shares/shares-search-results/0577485","0577485"
"34","Bodycote plc","/shares/shares-search-results/B3FLWH9","B3FLWH9"
"35","Brewin Dolphin Holdings plc","/shares/shares-search-results/0176581","0176581"
"36","Bridgepoint Group plc","/shares/shares-search-results/BND88V8","BND88V8"
"37","Britvic plc","/shares/shares-search-results/B0N8QD5","B0N8QD5"
"38","Bytes Technology Group plc","/shares/shares-search-results/BMH18Q1","BMH18Q1"
"39","C & C Group plc","/shares/shares-search-results/B010DT8","B010DT8"
"40","Caledonia Investments plc","/shares/shares-search-results/0163992","0163992"
"41","Capital & Counties Properties plc","/shares/shares-search-results/B62G9D3","B62G9D3"
"42","Capital Gearing Trust plc","/shares/shares-search-results/0173861","0173861"
"43","Capricorn Energy Plc","/shares/shares-search-results/BN0SMB9","BN0SMB9"
"44","Carnival plc","/shares/shares-search-results/3121522","3121522"
"45","Centamin plc","/shares/shares-search-results/B5TT187","B5TT187"
"46","Chemring Group plc","/shares/shares-search-results/B45C9X4","B45C9X4"
"47","Chrysalis Investments Limited","/shares/shares-search-results/BGJYPP4","BGJYPP4"
"48","City Of London Investment Trust","/shares/shares-search-results/0199049","0199049"
"49","Clarkson plc","/shares/shares-search-results/0201836","0201836"
"50","Close Brothers Group plc","/shares/shares-search-results/0766807","0766807"
"51","CLS Holdings plc","/shares/shares-search-results/BF04459","BF04459"
"52","CMC Markets Plc","/shares/shares-search-results/B14SKR3","B14SKR3"
"53","Coats Group plc","/shares/shares-search-results/B4YZN32","B4YZN32"
"54","Computacenter plc","/shares/shares-search-results/BV9FP30","BV9FP30"
"55","ContourGlobal plc","/shares/shares-search-results/BF448H5","BF448H5"
"56","ConvaTec Group Plc","/shares/shares-search-results/BD3VFW7","BD3VFW7"
"57","Countryside Partnerships plc","/shares/shares-search-results/BYPHNG0","BYPHNG0"
"58","Cranswick plc","/shares/shares-search-results/0231888","0231888"
"59","Crest Nicholson Holdings plc","/shares/shares-search-results/B8VZXT9","B8VZXT9"
"60","Currys plc","/shares/shares-search-results/B4Y7R14","B4Y7R14"
"61","Darktrace plc","/shares/shares-search-results/BNYK8G8","BNYK8G8"
"62","Derwent London plc","/shares/shares-search-results/0265274","0265274"
"63","Diploma plc","/shares/shares-search-results/0182663","0182663"
"64","Direct Line Insurance Group plc","/shares/shares-search-results/BY9D0Y1","BY9D0Y1"
"65","DiscoverIE Group plc","/shares/shares-search-results/0005588","0005588"
"66","Diversified Energy Company Plc","/shares/shares-search-results/BYX7JT7","BYX7JT7"
"67","Domino's Pizza Group plc","/shares/shares-search-results/BYN5913","BYN5913"
"68","Dr Martens plc","/shares/shares-search-results/BL6NGV2","BL6NGV2"
"69","Drax Group plc","/shares/shares-search-results/B1VNSX3","B1VNSX3"
"70","Dunelm Group Plc","/shares/shares-search-results/B1CKQ73","B1CKQ73"
"71","easyJet plc","/shares/shares-search-results/B7KR2P8","B7KR2P8"
"72","Edinburgh Investment Trust plc","/shares/shares-search-results/0305233","0305233"
"73","Edinburgh Worldwide Investment Trust","/shares/shares-search-results/BHSRZC8","BHSRZC8"
"74","Elementis plc","/shares/shares-search-results/0241854","0241854"
"75","Energean","/shares/shares-search-results/BG12Y04","BG12Y04"
"76","Essentra Plc","/shares/shares-search-results/B074435","B074435"
"77","Euromoney Institutional Investors plc","/shares/shares-search-results/0688666","0688666"
"78","European Opportunities Trust plc","/shares/shares-search-results/0019772","0019772"
"79","F&C Investment Trust plc","/shares/shares-search-results/0346607","0346607"
"80","FDM Group plc","/shares/shares-search-results/BLWDVP5","BLWDVP5"
"81","Ferrexpo plc","/shares/shares-search-results/B1XH2C0","B1XH2C0"
"82","Fidelity China Special Situations PLC","/shares/shares-search-results/B62Z3C7","B62Z3C7"
"83","Fidelity Emerging Markets Limited","/shares/shares-search-results/B4L0PD4","B4L0PD4"
"84","Fidelity European Trust plc","/shares/shares-search-results/BK1PKQ9","BK1PKQ9"
"85","Fidelity Special Values plc","/shares/shares-search-results/BWXC7Y9","BWXC7Y9"
"86","Finsbury Growth & Income Trust plc","/shares/shares-search-results/0781606","0781606"
"87","FirstGroup plc","/shares/shares-search-results/0345217","0345217"
"88","Frasers Group plc","/shares/shares-search-results/B1QH8P2","B1QH8P2"
"89","Future plc","/shares/shares-search-results/BYZN904","BYZN904"
"90","Games Workshop Group","/shares/shares-search-results/0371847","0371847"
"91","GCP Infrastructure Investments Ltd","/shares/shares-search-results/B6173J1","B6173J1"
"92","Genuit Group plc","/shares/shares-search-results/BKRC5K3","BKRC5K3"
"93","Genus plc","/shares/shares-search-results/0207458","0207458"
"94","Grafton Group","/shares/shares-search-results/B00MZ44","B00MZ44"
"95","Grainger Plc","/shares/shares-search-results/B04V127","B04V127"
"96","Great Portland Estates","/shares/shares-search-results/BF5H9P8","BF5H9P8"
"97","Greencoat UK Wind plc","/shares/shares-search-results/B8SC6K5","B8SC6K5"
"98","Greencore Group plc","/shares/shares-search-results/0386410","0386410"
"99","Greggs Plc","/shares/shares-search-results/B63QSB3","B63QSB3"
"100","Hammerson Plc","/shares/shares-search-results/BK7YQK6","BK7YQK6"
"101","Harbourvest Global Private Equity","/shares/shares-search-results/BR30MJ8","BR30MJ8"
"102","Hays plc","/shares/shares-search-results/0416102","0416102"
"103","Helios Towers plc","/shares/shares-search-results/BJVQC70","BJVQC70"
"104","Henderson Smaller Cos Investment Trust plc","/shares/shares-search-results/0906506","0906506"
"105","Herald Investment Trust plc","/shares/shares-search-results/0422864","0422864"
"106","HG Capital Trust plc","/shares/shares-search-results/BJ0LT19","BJ0LT19"
"107","HICL Infrastructure plc","/shares/shares-search-results/BJLP1Y7","BJLP1Y7"
"108","Hill & Smith Holdings plc.","/shares/shares-search-results/0427030","0427030"
"109","Hilton Food Group Plc","/shares/shares-search-results/B1V9NW5","B1V9NW5"
"110","Hipgnosis Songs fund Ltd","/shares/shares-search-results/BFYT9H7","BFYT9H7"
"111","Hiscox Ltd","/shares/shares-search-results/BVZHXQ9","BVZHXQ9"
"112","Hochschild Mining Plc","/shares/shares-search-results/B1FW502","B1FW502"
"113","Homeserve plc","/shares/shares-search-results/BYYTFB6","BYYTFB6"
"114","Ibstock plc","/shares/shares-search-results/BYXJC27","BYXJC27"
"115","ICG Enterprise Trust plc","/shares/shares-search-results/0329200","0329200"
"116","IG Group Holdings Plc","/shares/shares-search-results/B06QFB7","B06QFB7"
"117","IMI plc","/shares/shares-search-results/BGLP8L2","BGLP8L2"
"118","Impax Environmental Markets plc","/shares/shares-search-results/3123249","3123249"
"119","Inchcape plc","/shares/shares-search-results/B61TVQ0","B61TVQ0"
"120","Indivior plc","/shares/shares-search-results/BRS65X6","BRS65X6"
"121","Integrafin Holdings Plc","/shares/shares-search-results/BD45SH4","BD45SH4"
"122","International Public Partnerships Limited","/shares/shares-search-results/B188SR5","B188SR5"
"123","Investec Plc","/shares/shares-search-results/B17BBQ5","B17BBQ5"
"124","IP Group Plc","/shares/shares-search-results/B128J45","B128J45"
"125","ITV plc","/shares/shares-search-results/3398649","3398649"
"126","IWG plc","/shares/shares-search-results/BYVQYS0","BYVQYS0"
"127","J D Wetherspoon plc","/shares/shares-search-results/0163895","0163895"
"128","JLEN Environmental Assets Group Ltd","/shares/shares-search-results/BJL5FH8","BJL5FH8"
"129","Johnson Matthey Plc","/shares/shares-search-results/BZ4BQC7","BZ4BQC7"
"130","JPMorgan American Investment Trust plc","/shares/shares-search-results/BKZGVH6","BKZGVH6"
"131","JPMorgan Emerging Markets Investment Trust plc","/shares/shares-search-results/BMXWN18","BMXWN18"
"132","JPMorgan European Discovery Trust plc","/shares/shares-search-results/BMTS0Z3","BMTS0Z3"
"133","JPMorgan Japanese Investment Trust plc","/shares/shares-search-results/0174002","0174002"
"134","JTC Plc","/shares/shares-search-results/BF4X3P5","BF4X3P5"
"135","Jupiter Fund Management PLC","/shares/shares-search-results/B53P200","B53P200"
"136","Just Group plc","/shares/shares-search-results/BCRX1J1","BCRX1J1"
"137","Kainos Group plc","/shares/shares-search-results/BZ0D672","BZ0D672"
"138","Lancashire Holdings","/shares/shares-search-results/B0PYHC7","B0PYHC7"
"139","Law Debenture Corporation plc","/shares/shares-search-results/3142921","3142921"
"140","Liontrust Asset Management","/shares/shares-search-results/0738840","0738840"
"141","LondonMetric Property plc","/shares/shares-search-results/B4WFW71","B4WFW71"
"142","LXI REIT plc","/shares/shares-search-results/BYQ46T4","BYQ46T4"
"143","Man Group plc","/shares/shares-search-results/BJ1DLW9","BJ1DLW9"
"144","Marks & Spencer Group plc","/shares/shares-search-results/3127489","3127489"
"145","Marshalls Plc","/shares/shares-search-results/B012BV2","B012BV2"
"146","Mediclinic International plc","/shares/shares-search-results/B8HX8Z8","B8HX8Z8"
"147","Mercantile Investment Trust Plc","/shares/shares-search-results/BF4JDH5","BF4JDH5"
"148","Merchants Trust plc","/shares/shares-search-results/0580007","0580007"
"149","Micro Focus International plc","/shares/shares-search-results/BJ1F4N7","BJ1F4N7"
"150","Mitchells & Butlers Plc","/shares/shares-search-results/B1FP6H5","B1FP6H5"
"151","Mitie Group","/shares/shares-search-results/0465740","0465740"
"152","Molten Ventures plc","/shares/shares-search-results/BY7QYJ5","BY7QYJ5"
"153","Moneysupermarket.Com","/shares/shares-search-results/B1ZBKY8","B1ZBKY8"
"154","Monks Investment Trust plc","/shares/shares-search-results/3051726","3051726"
"155","Moonpig Group Plc","/shares/shares-search-results/BMT9K01","BMT9K01"
"156","Morgan Advanced Materials plc","/shares/shares-search-results/0602729","0602729"
"157","Morgan Sindall Group Plc","/shares/shares-search-results/0808561","0808561"
"158","Murray Income Trust plc","/shares/shares-search-results/0611112","0611112"
"159","Murray International Trust plc","/shares/shares-search-results/0611190","0611190"
"160","National Express","/shares/shares-search-results/0621520","0621520"
"161","NB Private Equity Partners Ltd","/shares/shares-search-results/B28ZZX8","B28ZZX8"
"162","NCC Group plc","/shares/shares-search-results/B01QGK8","B01QGK8"
"163","Network International Holdings","/shares/shares-search-results/BH3VJ78","BH3VJ78"
"164","Ninety One plc","/shares/shares-search-results/BJHPLV8","BJHPLV8"
"165","OSB Group plc","/shares/shares-search-results/BLDRH36","BLDRH36"
"166","Oxford Instruments plc","/shares/shares-search-results/0665045","0665045"
"167","PageGroup plc","/shares/shares-search-results/3023231","3023231"
"168","Pantheon International Plc","/shares/shares-search-results/BP37WF1","BP37WF1"
"169","Paragon Banking Group plc","/shares/shares-search-results/B2NGPM5","B2NGPM5"
"170","Pennon Group","/shares/shares-search-results/BNNTLN4","BNNTLN4"
"171","Personal Assets Trust plc","/shares/shares-search-results/0682754","0682754"
"172","Petershill Partners plc","/shares/shares-search-results/BL9ZF30","BL9ZF30"
"173","Petrofac","/shares/shares-search-results/B0H2K53","B0H2K53"
"174","Pets At Home Group PLC","/shares/shares-search-results/BJ62K68","BJ62K68"
"175","Playtech plc","/shares/shares-search-results/B7S9G98","B7S9G98"
"176","Plus500 Ltd","/shares/shares-search-results/BBT3PS9","BBT3PS9"
"177","Polar Capital Technology Trust plc","/shares/shares-search-results/0422002","0422002"
"178","Premier Foods plc","/shares/shares-search-results/B7N0K05","B7N0K05"
"179","Primary Health Properties plc","/shares/shares-search-results/BYRJ5J1","BYRJ5J1"
"180","Provident Financial plc","/shares/shares-search-results/B1Z4ST8","B1Z4ST8"
"181","PZ Cussons Plc","/shares/shares-search-results/B19Z143","B19Z143"
"182","QinetiQ Group plc","/shares/shares-search-results/B0WMWD0","B0WMWD0"
"183","Quilter plc","/shares/shares-search-results/BNHSJN3","BNHSJN3"
"184","Rathbones Group plc","/shares/shares-search-results/0214834","0214834"
"185","Redde Northgate plc","/shares/shares-search-results/B41H739","B41H739"
"186","Redrow plc","/shares/shares-search-results/BG11K36","BG11K36"
"187","Renishaw plc","/shares/shares-search-results/0732358","0732358"
"188","RHI Magnesita NV","/shares/shares-search-results/BYZ2JR8","BYZ2JR8"
"189","RIT Capital Partners plc","/shares/shares-search-results/0736639","0736639"
"190","Rotork plc","/shares/shares-search-results/BVFNZH2","BVFNZH2"
"191","Royal Mail PLC","/shares/shares-search-results/BDVZYZ7","BDVZYZ7"
"192","Ruffer Investment Co Ltd","/shares/shares-search-results/B018CS4","B018CS4"
"193","Safestore Holdings","/shares/shares-search-results/B1N7Z09","B1N7Z09"
"194","Sanne Group plc","/shares/shares-search-results/BVRZ8S8","BVRZ8S8"
"195","Savills plc","/shares/shares-search-results/B135BJ4","B135BJ4"
"196","Schroder Asia Pacific Fund","/shares/shares-search-results/0791887","0791887"
"197","Schroder Oriental Income Fund","/shares/shares-search-results/B0CRWN5","B0CRWN5"
"198","Scottish American Investment Co plc","/shares/shares-search-results/0787369","0787369"
"199","SDCL Energy Efficiency Income Trust Plc","/shares/shares-search-results/BGHVZM4","BGHVZM4"
"200","Sequoia Economic Infrastructure Income Fund Ltd","/shares/shares-search-results/BV54HY6","BV54HY6"
"201","Serco Group plc","/shares/shares-search-results/0797379","0797379"
"202","Shaftesbury","/shares/shares-search-results/0799096","0799096"
"203","Sirius Real Estate Limited","/shares/shares-search-results/B1W3VF5","B1W3VF5"
"204","Smithson Investment Trust Plc","/shares/shares-search-results/BGJWTR8","BGJWTR8"
"205","Softcat plc","/shares/shares-search-results/BYZDVK8","BYZDVK8"
"206","Spectris plc","/shares/shares-search-results/0330860","0330860"
"207","Spire Healthcare Group plc","/shares/shares-search-results/BNLPYF7","BNLPYF7"
"208","Spirent Communications plc","/shares/shares-search-results/0472609","0472609"
"209","SSP Group plc","/shares/shares-search-results/BGBN7C0","BGBN7C0"
"210","Supermarket Income REIT plc","/shares/shares-search-results/BF345X1","BF345X1"
"211","Syncona Limited","/shares/shares-search-results/B8P59C0","B8P59C0"
"212","Synthomer plc","/shares/shares-search-results/0988742","0988742"
"213","Target Healthcare REIT plc","/shares/shares-search-results/BJGTLF5","BJGTLF5"
"214","Tate & Lyle plc","/shares/shares-search-results/BP92CJ4","BP92CJ4"
"215","TBC Bank Group Plc","/shares/shares-search-results/BYT1830","BYT1830"
"216","Telecom Plus plc","/shares/shares-search-results/0879471","0879471"
"217","Temple Bar Investment Trust plc","/shares/shares-search-results/BMV92D6","BMV92D6"
"218","Templeton Emerging Markets Investment Trust plc","/shares/shares-search-results/BKPG0S0","BKPG0S0"
"219","The Global Smaller Companies Trust Plc","/shares/shares-search-results/BKLXD97","BKLXD97"
"220","The Renewables Infrastructure Group Limited","/shares/shares-search-results/BBHX2H9","BBHX2H9"
"221","TI Fluid Systems plc","/shares/shares-search-results/BYQB9V8","BYQB9V8"
"222","TP ICAP Finance plc","/shares/shares-search-results/BMDZN39","BMDZN39"
"223","TR Property Investment Trust plc","/shares/shares-search-results/0906409","0906409"
"224","Trainline plc","/shares/shares-search-results/BKDTK92","BKDTK92"
"225","Travis Perkins plc","/shares/shares-search-results/BK9RKT0","BK9RKT0"
"226","Tritax Big Box REIT plc","/shares/shares-search-results/BG49KP9","BG49KP9"
"227","Tritax Eurobox Plc","/shares/shares-search-results/BG382L7","BG382L7"
"228","TUI AG","/shares/shares-search-results/B11LJN4","B11LJN4"
"229","Tullow Oil plc","/shares/shares-search-results/0150080","0150080"
"230","Tyman Plc","/shares/shares-search-results/B29H425","B29H425"
"231","UK Commercial Property Reit Limited","/shares/shares-search-results/B19Z2J5","B19Z2J5"
"232","Ultra Electronics Holdings","/shares/shares-search-results/0912332","0912332"
"233","Urban Logistics REIT plc","/shares/shares-search-results/BYV8MN7","BYV8MN7"
"234","Vesuvius plc","/shares/shares-search-results/B82YXW8","B82YXW8"
"235","Victrex","/shares/shares-search-results/0929224","0929224"
"236","Vietnam Enterprise Investments Ltd","/shares/shares-search-results/BD9X204","BD9X204"
"237","VinaCapital Vietnam Opportunity Fund Ltd","/shares/shares-search-results/BYXVT88","BYXVT88"
"238","Virgin Money UK plc","/shares/shares-search-results/BD6GN03","BD6GN03"
"239","Vistry Group Plc","/shares/shares-search-results/0185929","0185929"
"240","Vivo Energy Plc","/shares/shares-search-results/BDGT2M7","BDGT2M7"
"241","Volution Group plc","/shares/shares-search-results/BN3ZZ52","BN3ZZ52"
"242","Watches Of Switzerland Group plc","/shares/shares-search-results/BJDQQ87","BJDQQ87"
"243","Weir Group plc","/shares/shares-search-results/0946580","0946580"
"244","WH Smith Plc","/shares/shares-search-results/B2PDGW1","B2PDGW1"
"245","Witan Investment Trust plc","/shares/shares-search-results/BJTRSD3","BJTRSD3"
"246","Wizz Air Holdings plc","/shares/shares-search-results/BN574F9","BN574F9"
"247","Wood Group (John) Plc","/shares/shares-search-results/B5N0P84","B5N0P84"
"248","Workspace Group Plc","/shares/shares-search-results/B67G5X0","B67G5X0"
"249","Worldwide Healthcare Trust plc","/shares/shares-search-results/0338530","0338530"
"250","XP Power Limited","/shares/shares-search-results/B1RMWL0","B1RMWL0"
